book_wikidata_id,title,author,year,n_pages,n_ratings,n_reviews,rating,summary
Q100248940,Thunderhead,Mary O'Hara,1988,304,4270,52,4.22,"A follow-up to the childhood classic <em>My Friend Flicka</em>. ""That rare achievement, a sequel to a great and richly deserved success that in no way falls short of its distinguished predecessor . . . a fine and singing story<em>.""--New York Times</em>"
Q100387696,The Winter War,Antti Tuuri,2003,208,207,6,3.5700000000000003,
Q100698295,The Player,Michael Tolkin,1989,96,404,34,3.525,'One of the most wounding and satirical of all Hollywood exposes: dark and mordant...savage...A portrait of life among the high rollers and deal makers of a major Hollywood studio in the post-Golden Age. Unnerving...A nightmare rendered with icy dispassion.' - Los Angeles Times
Q100698344,Buffalo Soldiers,Robert O'Connor,1994,336,243,20,3.83,
Q100698525,Bringing Out the Dead,Joe Connelly,1998,271,1125,10,3.7,"Perhaps only someone who has worked for almost a decade as a medic in New York City's Hell's Kitchen - as Joe Connelly has - could write a novel as riveting and fiercely authentic as <i>Bringing Out the Dead</i>. Like a front-line reporter, Connelly writes from deep within the experience, and the result is a debut novel of extraordinary power and intensity.<br /><br />In Frank Pierce, a brash EMS medic working the streets of Hell's Kitchen, Connelly gives us a man who is being destroyed by the act of saving people. Addicted to the thrill (""the best drug in the world"") and the mission of the job, Frank is nevertheless drowning in five years' worth of grief and guilt - his own and others': ""My primary role was less about saving lives than about bearing witness."" His wife has left him, he's drinking on the job, and just a month ago he ""helped to kill"" an eighteen-year-old asthmatic girl. Now she's become the waking nightmare of all his failures: hallucination and projection (""The ghosts that once visited my dreams had followed me out to the street and were now talking back""), and as a real to him as his own skin. And in reaction to her death Frank has desperately resurrected a patient back into a life now little better than death.<br /><br />In a narrative that moves with the furious energy of an ambulance run, we follow Frank through two days and nights: into the excitement and dread of the calls; the mad humour that keeps the medics afloat; the memories, distant and recent, through which Frank reminds himself why he became a medic and tries, in vain, to convince himself to give it up. And we are with him as he faces his newest ghost: the resurrected patient, whose demands to be released into death might be the most sensible thing Frank has heard in months, if only he would listen.<br /><br /><i>Bringing Out the Dead</i> is a stunning novel."
Q1018108,The Chocolate War,Robert Cormier,1986,236,39103,2610,3.48,"<b>One of the most controversial YA novels of all time, <i>The Chocolate War</i></b> <b>is a</b> <b>modern masterpiece that speaks to fans of S. E. Hinton’s <i>The Outsiders</i> and John Knowles’s <i>A Separate Peace</i>.</b><br />  <br /> After suffering rejection from seven major publishers, <i>The Chocolate War</i> made its debut in 1974, and quickly became a bestselling—and provocative—classic for young adults. This chilling portrait of an all-boys prep school casts an unflinching eye on the pitfalls of conformity and corruption in our most elite cultural institutions.<br /><br /> “Masterfully structured and rich in theme; the action is well crafted, well timed, suspenseful.”—<i>The New York Times Book Review</i><br />  <br /> “The characterizations of all the boys are superb.”—<i>School Library Journal</i>, starred review<br /><br /> “Compellingly immediate. . . . Readers will respect the uncompromising ending.”—<i>Kirkus Reviews</i>, starred review<br /><br /><b>An ALA Best Book for Young Adults<br /> A <i>School Library Journal</i> Best Book of the Year<br /> A <i>Kirkus Reviews</i> Editor’s Choice<br /> A <i>New York Times</i> Outstanding Book of the Year</b><br /><br /><br /><i>From the Trade Paperback edition.</i>"
Q1026116,Cal,Bernard MacLaverty,1987,160,2072,88,3.53,"Set in the Northern Ireland of the 1980’s, Cal tells the story of a young Catholic man living in a Protestant area. For Cal, some choices are devastatingly simple: he can work in an abattoir that nauseates him or join the dole queue; he can brood on his past or plan a future with Marcella.<br /><br />Springing out of the fear and violence of Ulster, Cal is a haunting love story that unfolds in a land where tenderness and innocence can only flicker briefly in the dark."
Q1027487,Mr. Popper's Penguins,Richard Atwater,1978,148,61765,2145,3.97,"A classic of American humor, the adventures of a house painter and his brood of high-stepping penguins have delighted children for generations. Here is a book to read aloud in groups of all ages. There is not an extra or misplaced word in the whole story.--The Horn Book. Newbery Honor Book."
Q1029093,Scoop,Evelyn Waugh,1990,222,17044,15,3.85,"Lord Copper, newspaper magnate and proprietor of the ""Daily Beast"", has always prided himself on his intuitive flair for spotting ace reporters. That is not to say he has not made the odd blunder, however, and may in a moment of weakness make another. Acting on a dinner-party tip from Mrs Algernon Smith, he feels convinced that he has hit on just the chap to cover a promising little war in the African Republic of Ishmaelia. One of Waugh's most exuberant comedies, ""Scoop"" is a brilliantly irreverent satire of ""Fleet Street"" and its hectic pursuit of hot news."
Q1035138,Captains Courageous,Rudyard Kipling,1964,179,19482,37,3.88,"<p>A pampered millionaire's son tumbles overboard from a luxury liner and falls into good fortune, disguised in the form of a fishing boat. The gruff and hearty crew teach the young man to be worth his salt as they fish the waters off the Grand Banks of Newfoundland. Brimming with adventure and humor.</p>"
